time_ms,V_mV,m,h,n,I_inj_uA_per_cm2
1.1500000000000001,-64.99615433285577,0.052952262232796074,0.5961114251666272,0.31768313214340416,0.0
1.16,-64.9961280977424,0.05295244083015452,0.5961112781799192,0.31768322872112637,0.0
1.17,-64.99610197326992,0.05295261880263535,0.5961111302882599,0.31768332585852727,0.0
1.18,-64.99607595944961,0.05295279614747605,0.5961109814972553,0.3176834235514755,0.0
1.19,-64.99605005629226,0.052952972862027554,0.5961108318125051,0.317683521795847,0.0
1.2,-64.99602426380797,0.05295314894374956,0.5961106812396031,0.31768362058752503,0.0
1.21,-64.99599858200617,0.052953324390206155,0.5961105297841369,0.31768371992239997,0.0
1.22,-64.99597301089553,0.05295349919906153,0.5961103774516879,0.31768381979636956,0.0
1.23,-64.99594755048389,0.05295367336807601,0.5961102242478313,0.31768392020533875,0.0
1.24,-64.99592220077822,0.05295384689510216,0.5961100701781362,0.31768402114521976,0.0
1.25,-64.99589696178457,0.052954019778081174,0.5961099152481654,0.31768412261193213,0.0
1.26,-64.99587183350796,0.05295419201503935,0.5961097594634752,0.31768422460140266,0.0
1.27,-64.99584681595245,0.05295436360408475,0.5961096028296161,0.3176843271095655,0.0
1.28,-64.99582190912096,0.052954534543404035,0.5961094453521318,0.3176844301323621,0.0
1.29,-64.99579711301534,0.05295470483125942,0.59610928703656,0.31768453366574123,0.0
1.3,-64.99577242763624,0.052954874465985784,0.5961091278884315,0.3176846377056591,0.0
1.31,-64.99574785298314,0.052955043445987914,0.5961089679132712,0.3176847422480792,0.0
1.32,-64.99572338905429,0.05295521176973785,0.5961088071165971,0.3176848472889725,0.0
1.33,-64.99569903584664,0.052955379435772394,0.5961086455039208,0.3176849528243174,0.0
1.34,-64.99567479335587,0.052955546442690696,0.5961084830807475,0.31768505885009973,0.0
1.35,-64.99565066157633,0.05295571278915197,0.5961083198525754,0.3176851653623127,0.0
1.36,-64.995626640501,0.05295587847387329,0.5961081558248963,0.3176852723569572,0.0
1.37,-64.99560273012148,0.05295604349562756,0.5961079910031952,0.3176853798300414,0.0
1.3800000000000001,-64.99557893042794,0.05295620785324145,0.5961078253929504,0.3176854877775812,0.0
1.3900000000000001,-64.99555524140915,0.052956371545593545,0.5961076589996331,0.3176855961956,0.0
1.4000000000000001,-64.99553166305242,0.05295653457161253,0.596107491828708,0.3176857050801288,0.0
1.41,-64.99550819534355,0.05295669693027543,0.5961073238856326,0.31768581442720617,0.0
1.42,-64.99548483826688,0.052956858620606,0.5961071551758576,0.3176859242328784,0.0
1.43,-64.99546159180522,0.052957019641673105,0.5961069857048265,0.31768603449319943,0.0
1.44,-64.99543845593989,0.05295717999258925,0.5961068154779758,0.3176861452042309,0.0
1.45,-64.9954154306506,0.052957339672509096,0.596106644500735,0.3176862563620422,0.0
